candidate_id,cluster
cand_7_M_1,missing hard skill weighting
cand_7_W_5,missing hard skill weighting
cand_7_S_1,missing hard skill weighting
cand_7_W_0,domain mismatch
cand_7_W_7,missing hard skill weighting
cand_7_W_4,YOE overweighting
cand_7_W_2,YOE overweighting
cand_7_M_0,YOE overweighting
cand_7_M_2,title mismatch
cand_7_M_4,YOE overweighting
cand_7_M_3,domain mismatch
cand_7_W_3,title mismatch
cand_8_W_6,YOE overweighting
cand_8_W_5,title mismatch
cand_8_W_3,missing hard skill weighting
cand_8_W_1,missing hard skill weighting
cand_8_W_0,missing hard skill weighting
cand_8_W_2,YOE overweighting
cand_8_M_3,YOE overweighting
cand_8_M_4,missing hard skill weighting
cand_8_M_2,title mismatch
cand_8_S_1,domain mismatch
cand_8_S_0,title mismatch
cand_9_M_1,domain mismatch
cand_9_W_1,YOE overweighting
cand_9_W_0,YOE overweighting
cand_9_S_1,title mismatch
cand_9_W_3,title mismatch
cand_9_W_4,title mismatch
cand_9_S_0,domain mismatch
cand_9_M_3,domain mismatch
cand_9_W_7,missing hard skill weighting
cand_10_W_1,YOE overweighting
cand_10_M_2,YOE overweighting
cand_10_W_3,missing hard skill weighting
cand_10_W_2,title mismatch
cand_10_W_7,transferability overvalued
cand_10_S_0,title mismatch
cand_10_M_4,YOE overweighting
cand_10_M_3,missing hard skill weighting
cand_11_M_1,missing hard skill weighting
cand_11_W_0,title mismatch
cand_11_W_4,YOE overweighting
cand_11_W_3,YOE overweighting
cand_11_S_1,missing hard skill weighting
cand_11_W_7,title mismatch
cand_11_W_1,title mismatch
cand_11_S_0,YOE overweighting
cand_11_M_2,YOE overweighting
cand_11_M_4,YOE overweighting
cand_11_M_3,YOE overweighting
cand_11_W_2,missing hard skill weighting
cand_12_W_6,missing hard skill weighting
cand_12_W_7,title mismatch
cand_12_W_3,missing hard skill weighting
cand_12_W_2,domain mismatch
cand_12_W_4,title mismatch
cand_12_W_5,missing hard skill weighting
cand_12_S_0,YOE overweighting
cand_12_S_1,YOE overweighting
cand_12_M_0,missing hard skill weighting
cand_12_M_3,domain mismatch
cand_13_W_4,domain mismatch
cand_13_M_4,missing hard skill weighting
cand_13_W_2,missing hard skill weighting
cand_13_S_0,YOE overweighting
cand_13_S_1,title mismatch
cand_13_M_1,domain mismatch
cand_13_W_7,title mismatch
cand_13_M_3,transferability overvalued
cand_13_W_6,title mismatch
cand_14_W_1,title mismatch
cand_14_W_5,YOE overweighting
cand_14_W_7,missing hard skill weighting
cand_14_W_4,YOE overweighting
cand_14_S_1,missing hard skill weighting
cand_14_W_6,missing hard skill weighting
cand_14_M_4,domain mismatch
cand_14_W_0,title mismatch
cand_14_M_0,title mismatch
cand_14_S_0,missing hard skill weighting
cand_14_M_2,missing hard skill weighting
cand_14_M_3,missing hard skill weighting
cand_15_W_3,missing hard skill weighting
cand_15_W_5,YOE overweighting
cand_15_S_0,YOE overweighting
cand_15_W_6,YOE overweighting
cand_15_W_0,YOE overweighting
cand_15_S_1,missing hard skill weighting
cand_15_W_2,missing hard skill weighting
cand_15_M_0,title mismatch
cand_15_M_3,YOE overweighting
cand_15_M_4,title mismatch
cand_16_M_4,missing hard skill weighting
cand_16_W_4,YOE underweighting
cand_16_W_1,missing hard skill weighting
cand_16_W_3,missing hard skill weighting
cand_16_W_6,missing hard skill weighting
cand_16_W_5,missing hard skill weighting
cand_16_S_1,missing hard skill weighting
cand_16_M_2,title mismatch
cand_16_M_3,missing hard skill weighting
cand_16_S_0,YOE overweighting
cand_16_M_1,missing hard skill weighting
cand_17_M_0,missing hard skill weighting
cand_17_W_3,missing hard skill weighting
cand_17_W_7,domain mismatch
cand_17_W_1,title mismatch
cand_17_W_6,title mismatch
cand_17_S_0,title mismatch
cand_17_M_3,YOE overweighting
cand_17_S_1,domain mismatch
cand_18_M_3,YOE overweighting
cand_18_W_4,missing hard skill weighting
cand_18_W_5,transferability overvalued
cand_18_S_0,YOE overweighting
cand_18_W_0,missing hard skill weighting
cand_18_W_2,title mismatch
cand_18_M_0,transferability overvalued
cand_18_W_7,missing hard skill weighting
cand_18_M_1,missing hard skill weighting
cand_18_M_4,title mismatch
cand_18_S_1,missing hard skill weighting
cand_18_W_6,transferability overvalued
cand_19_W_3,title mismatch
cand_19_W_2,title mismatch
cand_19_W_4,missing hard skill weighting
cand_19_W_7,YOE overweighting
cand_19_W_1,YOE overweighting
cand_19_M_3,YOE overweighting
cand_19_W_0,title mismatch
cand_19_S_1,title mismatch
cand_19_S_0,title mismatch
cand_19_M_0,missing hard skill weighting
cand_19_M_1,title mismatch
