resume_id,skill,evidence_snippet,reason_missed
res_75,React Native,...built with react-native...,hyphenation not matched by ontology
res_76,React Native,...built with react-native...,hyphenation not matched by ontology
res_77,React Native,...built with react-native...,hyphenation not matched by ontology
res_78,React Native,...built with react-native...,hyphenation not matched by ontology
res_79,React Native,...built with react-native...,hyphenation not matched by ontology
res_80,React Native,...built with react-native...,hyphenation not matched by ontology
res_81,React Native,...built with react-native...,hyphenation not matched by ontology
res_82,React Native,...built with react-native...,hyphenation not matched by ontology
res_83,React Native,...built with react-native...,hyphenation not matched by ontology
res_84,React Native,...built with react-native...,hyphenation not matched by ontology
res_85,React Native,...built with react-native...,hyphenation not matched by ontology
res_86,React Native,...built with react-native...,hyphenation not matched by ontology
res_87,React Native,...built with react-native...,hyphenation not matched by ontology
res_88,React Native,...built with react-native...,hyphenation not matched by ontology
res_89,React Native,...built with react-native...,hyphenation not matched by ontology
res_90,React Native,...built with react-native...,hyphenation not matched by ontology
res_91,React Native,...built with react-native...,hyphenation not matched by ontology
res_92,React Native,...built with react-native...,hyphenation not matched by ontology
res_93,React Native,...built with react-native...,hyphenation not matched by ontology
res_94,React Native,...built with react-native...,hyphenation not matched by ontology
res_95,React Native,...built with react-native...,hyphenation not matched by ontology
res_96,React Native,...built with react-native...,hyphenation not matched by ontology
res_97,React Native,...built with react-native...,hyphenation not matched by ontology
res_98,React Native,...built with react-native...,hyphenation not matched by ontology
res_99,React Native,...built with react-native...,hyphenation not matched by ontology
res_100,React Native,...built with react-native...,hyphenation not matched by ontology
res_101,React Native,...built with react-native...,hyphenation not matched by ontology
res_102,React Native,...built with react-native...,hyphenation not matched by ontology
res_103,React Native,...built with react-native...,hyphenation not matched by ontology
res_104,React Native,...built with react-native...,hyphenation not matched by ontology
res_105,React Native,...built with react-native...,hyphenation not matched by ontology
res_106,React Native,...built with react-native...,hyphenation not matched by ontology
res_107,React Native,...built with react-native...,hyphenation not matched by ontology
res_108,React Native,...built with react-native...,hyphenation not matched by ontology
res_109,React Native,...built with react-native...,hyphenation not matched by ontology
res_110,React Native,...built with react-native...,hyphenation not matched by ontology
res_111,React Native,...built with react-native...,hyphenation not matched by ontology
res_112,React Native,...built with react-native...,hyphenation not matched by ontology
res_113,React Native,...built with react-native...,hyphenation not matched by ontology
res_114,React Native,...built with react-native...,hyphenation not matched by ontology
res_115,React Native,...built with react-native...,hyphenation not matched by ontology
res_116,React Native,...built with react-native...,hyphenation not matched by ontology
res_117,React Native,...built with react-native...,hyphenation not matched by ontology
res_118,React Native,...built with react-native...,hyphenation not matched by ontology
res_119,React Native,...built with react-native...,hyphenation not matched by ontology
res_120,React Native,...built with react-native...,hyphenation not matched by ontology
res_121,React Native,...built with react-native...,hyphenation not matched by ontology
res_122,React Native,...built with react-native...,hyphenation not matched by ontology
res_123,React Native,...built with react-native...,hyphenation not matched by ontology
res_124,React Native,...built with react-native...,hyphenation not matched by ontology
res_125,React Native,...built with react-native...,hyphenation not matched by ontology
res_126,React Native,...built with react-native...,hyphenation not matched by ontology
res_127,React Native,...built with react-native...,hyphenation not matched by ontology
res_128,React Native,...built with react-native...,hyphenation not matched by ontology
res_129,React Native,...built with react-native...,hyphenation not matched by ontology
res_130,React Native,...built with react-native...,hyphenation not matched by ontology
res_131,React Native,...built with react-native...,hyphenation not matched by ontology
res_132,React Native,...built with react-native...,hyphenation not matched by ontology
res_133,React Native,...built with react-native...,hyphenation not matched by ontology
res_134,React Native,...built with react-native...,hyphenation not matched by ontology
res_135,React Native,...built with react-native...,hyphenation not matched by ontology
res_136,React Native,...built with react-native...,hyphenation not matched by ontology
res_137,React Native,...built with react-native...,hyphenation not matched by ontology
res_138,React Native,...built with react-native...,hyphenation not matched by ontology
res_139,React Native,...built with react-native...,hyphenation not matched by ontology
res_140,React Native,...built with react-native...,hyphenation not matched by ontology
res_141,React Native,...built with react-native...,hyphenation not matched by ontology
res_142,React Native,...built with react-native...,hyphenation not matched by ontology
res_143,React Native,...built with react-native...,hyphenation not matched by ontology
res_144,React Native,...built with react-native...,hyphenation not matched by ontology
res_145,React Native,...built with react-native...,hyphenation not matched by ontology
res_146,React Native,...built with react-native...,hyphenation not matched by ontology
res_147,React Native,...built with react-native...,hyphenation not matched by ontology
res_148,React Native,...built with react-native...,hyphenation not matched by ontology
res_149,React Native,...built with react-native...,hyphenation not matched by ontology
res_150,React Native,...built with react-native...,hyphenation not matched by ontology
res_151,React Native,...built with react-native...,hyphenation not matched by ontology
res_152,React Native,...built with react-native...,hyphenation not matched by ontology
res_153,React Native,...built with react-native...,hyphenation not matched by ontology
res_154,React Native,...built with react-native...,hyphenation not matched by ontology
res_155,React Native,...built with react-native...,hyphenation not matched by ontology
res_156,React Native,...built with react-native...,hyphenation not matched by ontology
res_157,React Native,...built with react-native...,hyphenation not matched by ontology
res_158,React Native,...built with react-native...,hyphenation not matched by ontology
res_159,React Native,...built with react-native...,hyphenation not matched by ontology
res_160,React Native,...built with react-native...,hyphenation not matched by ontology
res_161,React Native,...built with react-native...,hyphenation not matched by ontology
res_162,React Native,...built with react-native...,hyphenation not matched by ontology
res_163,React Native,...built with react-native...,hyphenation not matched by ontology
res_164,React Native,...built with react-native...,hyphenation not matched by ontology
res_165,React Native,...built with react-native...,hyphenation not matched by ontology
res_166,React Native,...built with react-native...,hyphenation not matched by ontology
res_167,React Native,...built with react-native...,hyphenation not matched by ontology
res_168,React Native,...built with react-native...,hyphenation not matched by ontology
res_169,React Native,...built with react-native...,hyphenation not matched by ontology
res_170,React Native,...built with react-native...,hyphenation not matched by ontology
res_171,React Native,...built with react-native...,hyphenation not matched by ontology
res_172,React Native,...built with react-native...,hyphenation not matched by ontology
res_173,React Native,...built with react-native...,hyphenation not matched by ontology
res_174,React Native,...built with react-native...,hyphenation not matched by ontology
res_175,React Native,...built with react-native...,hyphenation not matched by ontology
res_176,React Native,...built with react-native...,hyphenation not matched by ontology
res_177,React Native,...built with react-native...,hyphenation not matched by ontology
res_178,React Native,...built with react-native...,hyphenation not matched by ontology
res_179,React Native,...built with react-native...,hyphenation not matched by ontology
res_180,React Native,...built with react-native...,hyphenation not matched by ontology
res_181,React Native,...built with react-native...,hyphenation not matched by ontology
res_182,React Native,...built with react-native...,hyphenation not matched by ontology
res_183,React Native,...built with react-native...,hyphenation not matched by ontology
res_184,React Native,...built with react-native...,hyphenation not matched by ontology
res_185,React Native,...built with react-native...,hyphenation not matched by ontology
res_186,React Native,...built with react-native...,hyphenation not matched by ontology
res_187,React Native,...built with react-native...,hyphenation not matched by ontology
res_188,React Native,...built with react-native...,hyphenation not matched by ontology
res_189,React Native,...built with react-native...,hyphenation not matched by ontology
res_190,React Native,...built with react-native...,hyphenation not matched by ontology
res_191,React Native,...built with react-native...,hyphenation not matched by ontology
res_192,React Native,...built with react-native...,hyphenation not matched by ontology
res_193,React Native,...built with react-native...,hyphenation not matched by ontology
res_194,React Native,...built with react-native...,hyphenation not matched by ontology
res_195,React Native,...built with react-native...,hyphenation not matched by ontology
res_196,React Native,...built with react-native...,hyphenation not matched by ontology
res_197,React Native,...built with react-native...,hyphenation not matched by ontology
res_198,React Native,...built with react-native...,hyphenation not matched by ontology
res_199,React Native,...built with react-native...,hyphenation not matched by ontology
