resume_id,ground_truth_skills,parsed_skills,true_positives,false_positives,false_negatives,precision,recall
15210069,14 skills,14 skills,11,3,3,0.7857142857142857,0.7857142857142857
17483843,16 skills,18 skills,12,6,4,0.6666666666666666,0.75
17686472,17 skills,14 skills,12,2,5,0.8571428571428571,0.7058823529411765
36252245,24 skills,25 skills,20,5,4,0.8,0.8333333333333334
25625173,19 skills,23 skills,16,7,3,0.6956521739130435,0.8421052631578947
30148777,29 skills,25 skills,20,5,9,0.8,0.6896551724137931
11137306,15 skills,16 skills,11,5,4,0.6875,0.7333333333333333
11333001,20 skills,18 skills,11,7,9,0.6111111111111112,0.55
27902692,27 skills,25 skills,18,7,9,0.72,0.6666666666666666
81588968,20 skills,18 skills,14,4,6,0.7777777777777778,0.7
38047274,18 skills,19 skills,14,5,4,0.7368421052631579,0.7777777777777778
17008356,24 skills,23 skills,15,8,9,0.6521739130434783,0.625
12043694,29 skills,27 skills,20,7,9,0.7407407407407407,0.6896551724137931
19506295,27 skills,22 skills,19,3,8,0.8636363636363636,0.7037037037037037
70198580,13 skills,12 skills,10,2,3,0.8333333333333334,0.7692307692307693
22168194,13 skills,12 skills,10,2,3,0.8333333333333334,0.7692307692307693
17694572,15 skills,13 skills,10,3,5,0.7692307692307693,0.6666666666666666
31536294,20 skills,18 skills,16,2,4,0.8888888888888888,0.8
22990761,19 skills,18 skills,12,6,7,0.6666666666666666,0.631578947368421
23985183,20 skills,14 skills,10,4,10,0.7142857142857143,0.5
24154692,21 skills,22 skills,16,6,5,0.7272727272727273,0.7619047619047619
38663892,19 skills,20 skills,15,5,4,0.75,0.7894736842105263
23761385,16 skills,17 skills,11,6,5,0.6470588235294118,0.6875
82738323,24 skills,24 skills,16,8,8,0.6666666666666666,0.6666666666666666
21796843,24 skills,27 skills,20,7,4,0.7407407407407407,0.8333333333333334
27606527,25 skills,26 skills,19,7,6,0.7307692307692307,0.76
17396388,24 skills,22 skills,16,6,8,0.7272727272727273,0.6666666666666666
36302399,15 skills,16 skills,12,4,3,0.75,0.8
73157997,18 skills,15 skills,10,5,8,0.6666666666666666,0.5555555555555556
26987539,25 skills,25 skills,20,5,5,0.8,0.8
25200253,17 skills,19 skills,14,5,3,0.7368421052631579,0.8235294117647058
79041971,27 skills,22 skills,20,2,7,0.9090909090909091,0.7407407407407407
54421668,26 skills,22 skills,17,5,9,0.7727272727272727,0.6538461538461539
30713796,21 skills,23 skills,15,8,6,0.6521739130434783,0.7142857142857143
11842348,20 skills,16 skills,11,5,9,0.6875,0.55
13393401,17 skills,21 skills,13,8,4,0.6190476190476191,0.7647058823529411
15856762,23 skills,22 skills,16,6,7,0.7272727272727273,0.6956521739130435
45167858,23 skills,26 skills,19,7,4,0.7307692307692307,0.8260869565217391
34953092,29 skills,26 skills,19,7,10,0.7307692307692307,0.6551724137931034
77156708,15 skills,15 skills,10,5,5,0.6666666666666666,0.6666666666666666
87867370,24 skills,23 skills,17,6,7,0.7391304347826086,0.7083333333333334
72876163,23 skills,24 skills,19,5,4,0.7916666666666666,0.8260869565217391
65864767,18 skills,22 skills,15,7,3,0.6818181818181818,0.8333333333333334
41651672,21 skills,22 skills,18,4,3,0.8181818181818182,0.8571428571428571
28051330,18 skills,19 skills,11,8,7,0.5789473684210527,0.6111111111111112
18208580,28 skills,26 skills,18,8,10,0.6923076923076923,0.6428571428571429
11262933,27 skills,21 skills,19,2,8,0.9047619047619048,0.7037037037037037
41152404,18 skills,20 skills,12,8,6,0.6,0.6666666666666666
63158213,22 skills,15 skills,13,2,9,0.8666666666666667,0.5909090909090909
89512321,21 skills,24 skills,17,7,4,0.7083333333333334,0.8095238095238095
95625660,23 skills,28 skills,20,8,3,0.7142857142857143,0.8695652173913043
82118447,22 skills,22 skills,14,8,8,0.6363636363636364,0.6363636363636364
24964303,23 skills,23 skills,18,5,5,0.782608695652174,0.782608695652174
15423153,29 skills,25 skills,20,5,9,0.8,0.6896551724137931
11551946,17 skills,13 skills,10,3,7,0.7692307692307693,0.5882352941176471
14752209,15 skills,17 skills,12,5,3,0.7058823529411765,0.8
95382114,24 skills,20 skills,18,2,6,0.9,0.75
14055971,30 skills,26 skills,20,6,10,0.7692307692307693,0.6666666666666666
12546838,19 skills,17 skills,13,4,6,0.7647058823529411,0.6842105263157895
31273310,23 skills,21 skills,18,3,5,0.8571428571428571,0.782608695652174
39875803,19 skills,18 skills,16,2,3,0.8888888888888888,0.8421052631578947
10235211,17 skills,20 skills,12,8,5,0.6,0.7058823529411765
14726000,17 skills,18 skills,10,8,7,0.5555555555555556,0.5882352941176471
19557384,15 skills,13 skills,11,2,4,0.8461538461538461,0.7333333333333333
33424600,17 skills,19 skills,11,8,6,0.5789473684210527,0.6470588235294118
12230301,27 skills,22 skills,17,5,10,0.7727272727272727,0.6296296296296297
35673335,26 skills,22 skills,20,2,6,0.9090909090909091,0.7692307692307693
17730889,21 skills,21 skills,17,4,4,0.8095238095238095,0.8095238095238095
26278597,22 skills,19 skills,16,3,6,0.8421052631578947,0.7272727272727273
18293620,25 skills,23 skills,18,5,7,0.782608695652174,0.72
18236085,17 skills,20 skills,12,8,5,0.6,0.7058823529411765
13888506,20 skills,21 skills,13,8,7,0.6190476190476191,0.65
27796199,25 skills,21 skills,17,4,8,0.8095238095238095,0.68
20748929,22 skills,22 skills,19,3,3,0.8636363636363636,0.8636363636363636
24412546,19 skills,16 skills,13,3,6,0.8125,0.6842105263157895
19268120,21 skills,22 skills,15,7,6,0.6818181818181818,0.7142857142857143
28396528,30 skills,26 skills,20,6,10,0.7692307692307693,0.6666666666666666
28230807,20 skills,23 skills,17,6,3,0.7391304347826086,0.85
21611637,22 skills,27 skills,19,8,3,0.7037037037037037,0.8636363636363636
25924968,24 skills,18 skills,16,2,8,0.8888888888888888,0.6666666666666666
21904897,26 skills,20 skills,17,3,9,0.85,0.6538461538461539
15354126,23 skills,15 skills,13,2,10,0.8666666666666667,0.5652173913043478
24709432,29 skills,26 skills,19,7,10,0.7307692307692307,0.6551724137931034
30826569,17 skills,22 skills,14,8,3,0.6363636363636364,0.8235294117647058
26718039,20 skills,18 skills,15,3,5,0.8333333333333334,0.75
19007667,29 skills,26 skills,19,7,10,0.7307692307692307,0.6551724137931034
27298953,29 skills,24 skills,20,4,9,0.8333333333333334,0.6896551724137931
23568731,26 skills,21 skills,16,5,10,0.7619047619047619,0.6153846153846154
23591247,26 skills,24 skills,16,8,10,0.6666666666666666,0.6153846153846154
16855929,19 skills,22 skills,14,8,5,0.6363636363636364,0.7368421052631579
23398733,19 skills,19 skills,11,8,8,0.5789473684210527,0.5789473684210527
13411858,21 skills,24 skills,16,8,5,0.6666666666666666,0.7619047619047619
21101152,23 skills,18 skills,15,3,8,0.8333333333333334,0.6521739130434783
57262959,17 skills,16 skills,14,2,3,0.875,0.8235294117647058
34252537,19 skills,16 skills,10,6,9,0.625,0.5263157894736842
22561438,23 skills,22 skills,19,3,4,0.8636363636363636,0.8260869565217391
12420359,15 skills,12 skills,10,2,5,0.8333333333333334,0.6666666666666666
