jd_id,candidate_id,expected_rank,actual_rank
jd_11,cand_11_W_7,12,6
jd_11,cand_11_W_1,12,8
jd_11,cand_11_S_0,1,9
jd_11,cand_11_M_2,5,10
jd_11,cand_11_M_4,5,11
jd_11,cand_11_M_3,5,13
jd_11,cand_11_W_2,12,15
jd_12,cand_12_W_6,12,1
jd_12,cand_12_W_7,12,2
jd_12,cand_12_W_3,12,4
jd_12,cand_12_W_2,12,7
jd_12,cand_12_W_4,12,8
jd_12,cand_12_W_5,12,9
jd_12,cand_12_S_0,1,11
jd_12,cand_12_S_1,1,12
jd_12,cand_12_M_0,5,14
jd_12,cand_12_M_3,5,15
jd_13,cand_13_W_4,12,1
jd_13,cand_13_M_4,5,2
jd_13,cand_13_W_2,12,5
jd_13,cand_13_S_0,1,6
jd_13,cand_13_S_1,1,7
jd_13,cand_13_M_1,5,8
jd_13,cand_13_W_7,12,9
jd_13,cand_13_M_3,5,11
jd_13,cand_13_W_6,12,15
jd_14,cand_14_W_1,12,1
jd_14,cand_14_W_5,12,2
jd_14,cand_14_W_7,12,3
jd_14,cand_14_W_4,12,5
jd_14,cand_14_S_1,1,6
jd_14,cand_14_W_6,12,7
jd_14,cand_14_M_4,5,8
jd_14,cand_14_W_0,12,9
jd_14,cand_14_M_0,5,12
jd_14,cand_14_S_0,1,13
jd_14,cand_14_M_2,5,14
jd_14,cand_14_M_3,5,15
jd_15,cand_15_W_3,12,1
jd_15,cand_15_W_5,12,2
jd_15,cand_15_S_0,1,5
jd_15,cand_15_W_6,12,6
jd_15,cand_15_W_0,12,7
jd_15,cand_15_S_1,1,8
jd_15,cand_15_W_2,12,9
jd_15,cand_15_M_0,5,11
jd_15,cand_15_M_3,5,14
jd_15,cand_15_M_4,5,15
jd_16,cand_16_M_4,5,1
jd_16,cand_16_W_4,12,2
jd_16,cand_16_W_1,12,3
jd_16,cand_16_W_3,12,4
jd_16,cand_16_W_6,12,5
jd_16,cand_16_W_5,12,7
jd_16,cand_16_S_1,1,8
jd_16,cand_16_M_2,5,9
jd_16,cand_16_M_3,5,11
jd_16,cand_16_S_0,1,14
jd_16,cand_16_M_1,5,15
jd_17,cand_17_M_0,5,1
jd_17,cand_17_W_3,12,2
jd_17,cand_17_W_7,12,3
jd_17,cand_17_W_1,12,6
jd_17,cand_17_W_6,12,8
jd_17,cand_17_S_0,1,9
jd_17,cand_17_M_3,5,11
jd_17,cand_17_S_1,1,15
jd_18,cand_18_M_3,5,1
jd_18,cand_18_W_4,12,2
jd_18,cand_18_W_5,12,3
jd_18,cand_18_S_0,1,5
jd_18,cand_18_W_0,12,6
jd_18,cand_18_W_2,12,7
jd_18,cand_18_M_0,5,8
jd_18,cand_18_W_7,12,9
jd_18,cand_18_M_1,5,11
jd_18,cand_18_M_4,5,13
jd_18,cand_18_S_1,1,14
jd_18,cand_18_W_6,12,15
jd_19,cand_19_W_3,12,1
jd_19,cand_19_W_2,12,2
jd_19,cand_19_W_4,12,3
jd_19,cand_19_W_7,12,5
jd_19,cand_19_W_1,12,7
jd_19,cand_19_M_3,5,8
jd_19,cand_19_W_0,12,9
jd_19,cand_19_S_1,1,10
jd_19,cand_19_S_0,1,12
jd_19,cand_19_M_0,5,14
jd_19,cand_19_M_1,5,15
