resume_id,raw_resume_text_snippet,ground_truth_title,extracted_title,normalized_title,final_title_used_in_metrics
31536294,Snippet...,Specialist,Engineer,Engineer,Engineer
38663892,Snippet...,Specialist,Manager,Manager,Manager
82738323,Snippet...,Professional,Lead,Lead,Lead
21796843,Snippet...,Consultant,Manager,Manager,Manager
27606527,Snippet...,Analyst,Manager,Manager,Manager
26987539,Snippet...,Specialist,Manager,Manager,Manager
25200253,Snippet...,Analyst,Manager,Manager,Manager
11842348,Snippet...,Director,Manager,Manager,Manager
13393401,Snippet...,Officer,Manager,Manager,Manager
15856762,Snippet...,Executive,Manager,Manager,Manager
45167858,Snippet...,Specialist,Manager,Manager,Manager
34953092,Snippet...,Analyst,Engineer,Engineer,Engineer
77156708,Snippet...,Officer,Manager,Manager,Manager
65864767,Snippet...,Executive,Manager,Manager,Manager
11262933,Snippet...,Executive,Manager,Manager,Manager
41152404,Snippet...,Analyst,Engineer,Engineer,Engineer
63158213,Snippet...,Engineer,Configuration Of Mpls Wan Routers  Cisco Call Manager And,Configuration Of Mpls Wan Routers  Cisco Call Manager And,Configuration Of Mpls Wan Routers  Cisco Call Manager And
24964303,Snippet...,Director,Manager,Manager,Manager
15423153,Snippet...,Executive,Manager,Manager,Manager
14752209,Snippet...,Director,Manager,Manager,Manager
14055971,Snippet...,Executive,Director,Director,Director
10235211,Snippet...,Executive,Specialist,Specialist,Specialist
14726000,Snippet...,Consultant,Manager,Manager,Manager
33424600,Snippet...,Specialist,Manager,Manager,Manager
12230301,Snippet...,Specialist,Manager,Manager,Manager
35673335,Snippet...,Consultant,Manager,Manager,Manager
18236085,Snippet...,Director,Manager,Manager,Manager
24412546,Snippet...,Executive,Manager,Manager,Manager
28396528,Snippet...,Specialist,Manager,Manager,Manager
28230807,Snippet...,Director,Manager,Manager,Manager
21611637,Snippet...,Executive,Manager,Manager,Manager
25924968,Snippet...,Executive,Manager,Manager,Manager
24709432,Snippet...,Specialist,Manager,Manager,Manager
27298953,Snippet...,Consultant,Partner With Teacher In,Partner With Teacher In,Partner With Teacher In
23568731,Snippet...,Professional,Lead,Lead,Lead
21101152,Snippet...,Executive,Consultant,Consultant,Consultant
57262959,Snippet...,Specialist,Manager,Manager,Manager
34252537,Snippet...,Executive,Manager,Manager,Manager
10100240,Snippet...,Professional,Lead,Lead,Lead
23818675,Snippet...,Specialist,Manager,Manager,Manager
32773331,Snippet...,Engineer,*Efficient Management And Leadership Ability,*Efficient Management And Leadership Ability,*Efficient Management And Leadership Ability
90032884,Snippet...,Engineer,Manager,Manager,Manager
45475027,Snippet...,Manager,*Leader Worksite Safety,*Leader Worksite Safety,*Leader Worksite Safety
12654876,Snippet...,Manager,*Electrical Engineering Technology,*Electrical Engineering Technology,*Electrical Engineering Technology
61065616,Snippet...,Professional,Engineer,Engineer,Engineer
78298706,Snippet...,Professional,Lead,Lead,Lead
13313917,Snippet...,Consultant,Manager,Manager,Manager
51432451,Snippet...,Consultant,Manager,Manager,Manager
17983957,Snippet...,Consultant,Manager,Manager,Manager
17025292,Snippet...,Specialist,Director,Director,Director
95429627,Snippet...,Consultant,Manager,Manager,Manager
71888547,Snippet...,Consultant,Manager,Manager,Manager
34875813,Snippet...,Consultant,Manager,Manager,Manager
15083600,Snippet...,Consultant,Developer,Developer,Developer
29196643,Snippet...,Consultant,Manager,Manager,Manager
29647215,Snippet...,Consultant,Manager,Manager,Manager
37818861,Snippet...,Consultant,"Of The House Manager, Kitchen Manager, And Bar Manager.","Of The House Manager, Kitchen Manager, And Bar Manager.","Of The House Manager, Kitchen Manager, And Bar Manager."
38399177,Snippet...,Consultant,Manager,Manager,Manager
99714410,Snippet...,Consultant,Engineer,Engineer,Engineer
12374933,Snippet...,Consultant,Manager,Manager,Manager
22259768,Snippet...,Consultant,Engineer,Engineer,Engineer
57364820,Snippet...,Consultant,Manager,Manager,Manager
39308779,Snippet...,Consultant,Manager,Manager,Manager
91189201,Snippet...,Consultant,Manager,Manager,Manager
31016926,Snippet...,Consultant,Manager,Manager,Manager
15699744,Snippet...,Consultant,Manager,Manager,Manager
30083884,Snippet...,Consultant,"Architect, State Of Texas License #6624","Architect, State Of Texas License #6624","Architect, State Of Texas License #6624"
20314980,Snippet...,Consultant,Manager,Manager,Manager
29147100,Snippet...,Professional,Lead,Lead,Lead
54201930,Snippet...,Professional,Coordinator,Coordinator,Coordinator
32532982,Snippet...,Professional,Engineer,Engineer,Engineer
18979238,Snippet...,Director,Engineer,Engineer,Engineer
22496394,Snippet...,Specialist,Manager,Manager,Manager
25422388,Snippet...,Director,Manager,Manager,Manager
12415691,Snippet...,Developer,Manager,Manager,Manager
30968749,Snippet...,Engineer,Manager,Manager,Manager
26924514,Snippet...,Director,Manager,Manager,Manager
21283733,Snippet...,Consultant,Manager,Manager,Manager
25723793,Snippet...,Analyst,Manager,Manager,Manager
26160200,Snippet...,Director,Manager,Manager,Manager
11005406,Snippet...,Engineer,Manager,Manager,Manager
12085736,Snippet...,Consultant,Engineer,Engineer,Engineer
21125113,Snippet...,Specialist,Manager,Manager,Manager
30999638,Snippet...,Professional,Director,Director,Director
31909493,Snippet...,Director,Developer,Developer,Developer
24658786,Snippet...,Specialist,Manager,Manager,Manager
18927233,Snippet...,Professional,Coordinator,Coordinator,Coordinator
34583750,Snippet...,Specialist,Manager,Manager,Manager
32985311,Snippet...,Analyst,Developer,Developer,Developer
25797445,Snippet...,Specialist,Engineer,Engineer,Engineer
12011623,Snippet...,Analyst,Manager,Manager,Manager
25608963,Snippet...,Professional,Engineer,Engineer,Engineer
13264796,Snippet...,Director,Manager,Manager,Manager
20566550,Snippet...,Developer,Manager,Manager,Manager
54227873,Snippet...,Professional,Engineer,Engineer,Engineer
74512244,Snippet...,Director,Manager,Manager,Manager
70541112,Snippet...,Executive,Manager,Manager,Manager
22720697,Snippet...,Specialist,Manager,Manager,Manager
33685988,Snippet...,Officer,Analyst,Analyst,Analyst
28398216,Snippet...,Officer,Director,Director,Director
12071138,Snippet...,Director,Manager,Manager,Manager
66741193,Snippet...,Director,Manager,Manager,Manager
26961846,Snippet...,Specialist,Manager,Manager,Manager
27409087,Snippet...,Professional,Manager,Manager,Manager
76454959,Snippet...,Director,Manager,Manager,Manager
14106638,Snippet...,Executive,Manager,Manager,Manager
29998869,Snippet...,Director,Manager,Manager,Manager
15792052,Snippet...,Consultant,Manager,Manager,Manager
14408510,Snippet...,Specialist,Manager,Manager,Manager
17660419,Snippet...,Professional,Specialist,Specialist,Specialist
26459032,Snippet...,Executive,Manager,Manager,Manager
19975121,Snippet...,Professional,Coordinator,Coordinator,Coordinator
10333051,Snippet...,Executive,Manager,Manager,Manager
38642923,Snippet...,Specialist,Manager,Manager,Manager
12938389,Snippet...,Analyst,Manager,Manager,Manager
20279756,Snippet...,Executive,Manager,Manager,Manager
10268614,Snippet...,Professional,Engineer,Engineer,Engineer
26908066,Snippet...,Executive,Manager,Manager,Manager
22008817,Snippet...,Executive,Manager,Manager,Manager
24548333,Snippet...,Executive,Director,Director,Director
27090089,Snippet...,Specialist,Manager,Manager,Manager
85421438,Snippet...,Executive,Consultant,Consultant,Consultant
15680735,Snippet...,Director,Manager,Manager,Manager
31395710,Snippet...,Professional,Lead,Lead,Lead
39082090,Snippet...,Consultant,Manager,Manager,Manager
20748468,Snippet...,Executive,Manager,Manager,Manager
18949843,Snippet...,Specialist,Manager,Manager,Manager
21866029,Snippet...,Analyst,Manager,Manager,Manager
15576950,Snippet...,Specialist,Manager,Manager,Manager
22323967,Snippet...,Specialist,Manager,Manager,Manager
28640735,Snippet...,Director,Manager,Manager,Manager
14640322,Snippet...,Consultant,Manager,Manager,Manager
21830565,Snippet...,Consultant,Manager,Manager,Manager
57667857,Snippet...,Consultant,Manager,Manager,Manager
93002334,Snippet...,Analyst,Manager,Manager,Manager
16861758,Snippet...,Director,Manager,Manager,Manager
17422560,Snippet...,Professional,Coordinator,Coordinator,Coordinator
