resume_id,raw_title,normalized_title,failure_reason
32532982,Engineer,Professional,alias missing
18979238,Engineer,Director,alias missing
22496394,Manager,Specialist,alias missing
25422388,Manager,Director,alias missing
12415691,Manager,Developer,alias missing
30968749,Manager,Engineer,alias missing
26924514,Manager,Director,alias missing
21283733,Manager,Consultant,alias missing
25723793,Manager,Analyst,alias missing
26160200,Manager,Director,alias missing
11005406,Manager,Engineer,alias missing
12085736,Engineer,Consultant,alias missing
21125113,Manager,Specialist,alias missing
30999638,Director,Professional,alias missing
31909493,Developer,Director,alias missing
24658786,Manager,Specialist,alias missing
18927233,Coordinator,Professional,alias missing
34583750,Manager,Specialist,alias missing
32985311,Developer,Analyst,alias missing
25797445,Engineer,Specialist,alias missing
12011623,Manager,Analyst,alias missing
25608963,Engineer,Professional,alias missing
13264796,Manager,Director,alias missing
20566550,Manager,Developer,alias missing
54227873,Engineer,Professional,alias missing
74512244,Manager,Director,alias missing
70541112,Manager,Executive,alias missing
22720697,Manager,Specialist,alias missing
33685988,Analyst,Officer,alias missing
28398216,Director,Officer,alias missing
12071138,Manager,Director,alias missing
66741193,Manager,Director,alias missing
26961846,Manager,Specialist,alias missing
27409087,Manager,Professional,alias missing
76454959,Manager,Director,alias missing
14106638,Manager,Executive,alias missing
29998869,Manager,Director,alias missing
15792052,Manager,Consultant,alias missing
14408510,Manager,Specialist,alias missing
17660419,Specialist,Professional,alias missing
26459032,Manager,Executive,alias missing
19975121,Coordinator,Professional,alias missing
10333051,Manager,Executive,alias missing
38642923,Manager,Specialist,alias missing
12938389,Manager,Analyst,alias missing
20279756,Manager,Executive,alias missing
10268614,Engineer,Professional,alias missing
26908066,Manager,Executive,alias missing
22008817,Manager,Executive,alias missing
24548333,Director,Executive,alias missing
27090089,Manager,Specialist,alias missing
85421438,Consultant,Executive,alias missing
15680735,Manager,Director,alias missing
31395710,Lead,Professional,alias missing
39082090,Manager,Consultant,alias missing
20748468,Manager,Executive,alias missing
18949843,Manager,Specialist,alias missing
21866029,Manager,Analyst,alias missing
15576950,Manager,Specialist,alias missing
22323967,Manager,Specialist,alias missing
28640735,Manager,Director,alias missing
14640322,Manager,Consultant,alias missing
21830565,Manager,Consultant,alias missing
57667857,Manager,Consultant,alias missing
93002334,Manager,Analyst,alias missing
16861758,Manager,Director,alias missing
17422560,Coordinator,Professional,alias missing
18316239,Manager,Professional,alias missing
32959732,Manager,Director,alias missing
28035460,Engineer,Specialist,alias missing
20408458,Manager,Specialist,alias missing
29051656,Manager,Specialist,alias missing
10840430,Manager,Specialist,alias missing
20879311,Manager,Director,alias missing
28126340,Engineer,Developer,alias missing
35325329,Analyst,Director,alias missing
27372171,Manager,Specialist,alias missing
13477922,Engineer,Specialist,alias missing
52618188,Manager,Specialist,alias missing
40018190,Director,Professional,alias missing
12635195,Teacher,Professional,alias missing
11957080,Manager,Specialist,alias missing
12045067,Manager,Specialist,alias missing
64017585,Manager,Consultant,alias missing
24889109,Director,Specialist,alias missing
59346975,Manager,Director,alias missing
25001005,Manager,Consultant,alias missing
24590489,Manager,Executive,alias missing
93828034,Manager,Director,alias missing
34712719,Events Coordinator Of Yoga And Pilates Club,Officer,word order variation
13727873,Manager,Analyst,alias missing
15917885,Manager,Executive,alias missing
45900271,Manager,Specialist,alias missing
32441790,Manager,Specialist,alias missing
21321598,Lead,Professional,alias missing
45462344,Manager,Consultant,alias missing
17378327,Analyst,Specialist,alias missing
29211919,Lead,Professional,alias missing
10464113,Manager,Executive,alias missing
37735467,Engineer,Officer,alias missing
33236701,Lead,Professional,alias missing
13178604,Manager,Executive,alias missing
37792474,Manager,Engineer,alias missing
19918523,Lead,Professional,alias missing
32067700,Lead,Professional,alias missing
31552617,Lead,Professional,alias missing
51209395,Lead,Professional,alias missing
13087952,Lead,Professional,alias missing
17481570,Teacher,Professional,alias missing
37402097,Teacher,Professional,alias missing
23939133,Director,Specialist,alias missing
28772892,Manager,Director,alias missing
38750659,Manager,Specialist,alias missing
10909720,Director,Professional,alias missing
45286020,Lead,Professional,alias missing
27080812,Manager,Officer,alias missing
29930479,Teacher,Professional,alias missing
19201175,Manager,Specialist,alias missing
46260230,Manager,Specialist,alias missing
52684666,Specialist,Professional,alias missing
29161565,Engineer,Professional,alias missing
29494962,Manager,Executive,alias missing
29486525,Teacher,Professional,alias missing
12059198,Manager,Director,alias missing
