resume_id,skill,trigger_alias,evidence_snippet
21611637,chef,chef,Snippet
25924968,chef,chef,Snippet
21904897,chef,chef,Snippet
15354126,chef,chef,Snippet
24709432,react,react,Snippet
30826569,chef,chef,Snippet
26718039,chef,chef,Snippet
19007667,chef,chef,Snippet
27298953,chef,chef,Snippet
23568731,chef,chef,Snippet
23591247,chef,chef,Snippet
16855929,chef,chef,Snippet
16855929,r,r,Snippet
13411858,chef,chef,Snippet
21101152,chef,chef,Snippet
57262959,chef,chef,Snippet
34252537,chef,chef,Snippet
22561438,chef,chef,Snippet
12420359,chef,chef,Snippet
37231163,chef,chef,Snippet
32025286,autocad,autocad,Snippet
23818675,autocad,autocad,Snippet
16203589,angular,angular,Snippet
18472240,c,c,Snippet
12654876,autocad,autocad,Snippet
13907230,autocad,autocad,Snippet
25187733,c,c,Snippet
13313917,c,c,Snippet
51432451,linux,linux,Snippet
51432451,vpn,vpn,Snippet
17983957,firewalls,firewalls,Snippet
17025292,vpn,vpn,Snippet
95429627,html,html,Snippet
95429627,javascript,javascript,Snippet
95429627,php,php,Snippet
95429627,salesforce,salesforce,Snippet
29196643,linux,linux,Snippet
29196643,mysql,mysql,Snippet
29196643,css,css,Snippet
29196643,html,html,Snippet
29196643,sap,sap,Snippet
29647215,tcp/ip,tcp/ip,Snippet
99714410,kanban,kanban,Snippet
12374933,linux,linux,Snippet
12374933,mysql,mysql,Snippet
12374933,vpn,vpn,Snippet
12374933,windows server,windows server,Snippet
12374933,jira,jira,Snippet
12374933,tcp/ip,tcp/ip,Snippet
12374933,dhcp,dhcp,Snippet
12374933,php,php,Snippet
12374933,dns,dns,Snippet
22259768,r,r,Snippet
22259768,sap,sap,Snippet
57364820,scrum,scrum,Snippet
57364820,tcp/ip,tcp/ip,Snippet
39308779,sap,sap,Snippet
91189201,azure,azure,Snippet
91189201,tableau,tableau,Snippet
31016926,c,c,Snippet
31016926,workday,workday,Snippet
25694422,c,c,Snippet
25694422,salesforce,salesforce,Snippet
20314980,go,go,Snippet
20314980,vpn,vpn,Snippet
20314980,asp.net,asp.net,Snippet
20314980,c#,c#,Snippet
12547982,autocad,autocad,Snippet
17199951,r,r,Snippet
17199951,autocad,autocad,Snippet
18835363,r,r,Snippet
18835363,salesforce,salesforce,Snippet
29147100,html,html,Snippet
54201930,ads,ads,Snippet
24285142,bash,bash,Snippet
24285142,ads,ads,Snippet
32532982,autocad,autocad,Snippet
11919526,c,c,Snippet
11919526,html,html,Snippet
11919526,r,r,Snippet
11919526,sap,sap,Snippet
11919526,javascript,javascript,Snippet
22496394,autocad,autocad,Snippet
25422388,html,html,Snippet
25422388,css,css,Snippet
26046064,html,html,Snippet
26046064,css,css,Snippet
12415691,linux,linux,Snippet
12415691,bash,bash,Snippet
12415691,mysql,mysql,Snippet
12415691,css,css,Snippet
12415691,windows server,windows server,Snippet
12415691,c,c,Snippet
12415691,c++,c++,Snippet
12415691,c#,c#,Snippet
12415691,php,php,Snippet
12415691,dns,dns,Snippet
30968749,synopsys,synopsys,Snippet
30968749,solidworks,solidworks,Snippet
30968749,matlab,matlab,Snippet
30968749,autocad,autocad,Snippet
21283733,html,html,Snippet
21283733,css,css,Snippet
14556869,c,c,Snippet
25723793,salesforce,salesforce,Snippet
26160200,html,html,Snippet
26160200,javascript,javascript,Snippet
26160200,css,css,Snippet
11005406,windows server,windows server,Snippet
11005406,azure,azure,Snippet
11005406,sap,sap,Snippet
11005406,r,r,Snippet
11005406,tcp/ip,tcp/ip,Snippet
11005406,dhcp,dhcp,Snippet
11005406,dns,dns,Snippet
12085736,html,html,Snippet
12085736,javascript,javascript,Snippet
12085736,css,css,Snippet
21125113,root cause analysis,root cause analysis,Snippet
21125113,dns,dns,Snippet
20490741,go,go,Snippet
31909493,ads,ads,Snippet
14209965,salesforce,salesforce,Snippet
24658786,html,html,Snippet
24658786,css,css,Snippet
27981289,scrum,scrum,Snippet
27981289,trello,trello,Snippet
27981289,css,css,Snippet
27981289,html,html,Snippet
27981289,jira,jira,Snippet
27981289,php,php,Snippet
27981289,slack,slack,Snippet
27981289,angular,angular,Snippet
27981289,javascript,javascript,Snippet
13837784,html,html,Snippet
90685127,looker,looker,Snippet
31694970,root cause analysis,root cause analysis,Snippet
31694970,asp.net,asp.net,Snippet
31694970,sap,sap,Snippet
31694970,c#,c#,Snippet
31694970,autocad,autocad,Snippet
31694970,cnc,cnc,Snippet
15941675,arm,arm,Snippet
15941675,root cause analysis,root cause analysis,Snippet
27040860,sap,sap,Snippet
32985311,c,c,Snippet
32985311,r,r,Snippet
32985311,trello,trello,Snippet
32985311,tableau,tableau,Snippet
64468610,scrum,scrum,Snippet
64468610,html,html,Snippet
64468610,jenkins,jenkins,Snippet
64468610,c++,c++,Snippet
64468610,c#,c#,Snippet
64468610,javascript,javascript,Snippet
11981094,scrum,scrum,Snippet
11981094,html,html,Snippet
11981094,jenkins,jenkins,Snippet
11981094,c++,c++,Snippet
11981094,c#,c#,Snippet
11981094,javascript,javascript,Snippet
37335325,linux,linux,Snippet
37335325,scrum,scrum,Snippet
37335325,c,c,Snippet
37335325,jira,jira,Snippet
37335325,jenkins,jenkins,Snippet
37335325,c++,c++,Snippet
37335325,c#,c#,Snippet
38220146,cnc,cnc,Snippet
38220146,kanban,kanban,Snippet
38220146,autocad,autocad,Snippet
25797445,catia,catia,Snippet
11890896,c,c,Snippet
11890896,c++,c++,Snippet
12011623,asp.net,asp.net,Snippet
12011623,pandas,pandas,Snippet
12011623,html,html,Snippet
12011623,r,r,Snippet
12011623,c#,c#,Snippet
12011623,tableau,tableau,Snippet
25608963,c,c,Snippet
25608963,root cause analysis,root cause analysis,Snippet
13264796,r,r,Snippet
13264796,ruby,ruby,Snippet
20566550,ansys,ansys,Snippet
20566550,scrum,scrum,Snippet
20566550,catia,catia,Snippet
20566550,c,c,Snippet
20566550,r,r,Snippet
20566550,jira,jira,Snippet
20566550,matlab,matlab,Snippet
20566550,solidworks,solidworks,Snippet
54227873,linux,linux,Snippet
54227873,windows server,windows server,Snippet
54227873,eagle,eagle,Snippet
54227873,html,html,Snippet
54227873,c++,c++,Snippet
54227873,autocad,autocad,Snippet
22890839,linux,linux,Snippet
22890839,bash,bash,Snippet
22890839,windows server,windows server,Snippet
22890839,root cause analysis,root cause analysis,Snippet
22890839,vpn,vpn,Snippet
22890839,bgp,bgp,Snippet
22890839,ospf,ospf,Snippet
22890839,vlan,vlan,Snippet
22890839,tcp/ip,tcp/ip,Snippet
22890839,dhcp,dhcp,Snippet
22890839,puppet,puppet,Snippet
22890839,solidworks,solidworks,Snippet
22890839,dns,dns,Snippet
74236636,autocad,autocad,Snippet
28762662,scrum,scrum,Snippet
28762662,css,css,Snippet
28762662,html,html,Snippet
28762662,jenkins,jenkins,Snippet
28762662,c++,c++,Snippet
28762662,c#,c#,Snippet
28762662,javascript,javascript,Snippet
14049846,r,r,Snippet
82125182,sap,sap,Snippet
70541112,sap,sap,Snippet
70541112,go,go,Snippet
81677620,c,c,Snippet
81677620,sap,sap,Snippet
22720697,ads,ads,Snippet
48285304,sap,sap,Snippet
48285304,oracle erp,oracle erp,Snippet
28398216,r,r,Snippet
66741193,sap,sap,Snippet
26961846,php,php,Snippet
27409087,sap,sap,Snippet
26231609,tableau,tableau,Snippet
47410104,oracle erp,oracle erp,Snippet
15717923,sap,sap,Snippet
14408510,sap,sap,Snippet
14408510,salesforce,salesforce,Snippet
12938389,workday,workday,Snippet
10268614,r,r,Snippet
13367322,hipaa,hipaa,Snippet
49325370,hipaa,hipaa,Snippet
26908066,r,r,Snippet
22008817,confluence,confluence,Snippet
34962725,hipaa,hipaa,Snippet
85421438,go,go,Snippet
85421438,ads,ads,Snippet
12333703,r,r,Snippet
10251432,c,c,Snippet
10251432,r,r,Snippet
20748468,html,html,Snippet
20748468,r,r,Snippet
20748468,root cause analysis,root cause analysis,Snippet
20748468,css,css,Snippet
14667957,root cause analysis,root cause analysis,Snippet
18949843,hipaa,hipaa,Snippet
21866029,ads,ads,Snippet
21866029,tableau,tableau,Snippet
18731098,sap,sap,Snippet
26780935,c,c,Snippet
26780935,chef,chef,Snippet
15576950,sap,sap,Snippet
93002334,sap,sap,Snippet
30646367,sap,sap,Snippet
30563572,workday,workday,Snippet
41523474,c,c,Snippet
16852973,ads,ads,Snippet
16852973,swift,swift,Snippet
10265057,eagle,eagle,Snippet
10265057,c,c,Snippet
10265057,c++,c++,Snippet
10265057,pcb design,pcb design,Snippet
10265057,matlab,matlab,Snippet
32959732,linux,linux,Snippet
32959732,scrum,scrum,Snippet
32959732,azure,azure,Snippet
32959732,sap,sap,Snippet
32959732,firewalls,firewalls,Snippet
32959732,tableau,tableau,Snippet
28035460,5g,5g,Snippet
29051656,linux,linux,Snippet
29051656,bash,bash,Snippet
29051656,mysql,mysql,Snippet
29051656,windows server,windows server,Snippet
20879311,windows server,windows server,Snippet
20879311,vpn,vpn,Snippet
20879311,jira,jira,Snippet
20879311,vlan,vlan,Snippet
20879311,tcp/ip,tcp/ip,Snippet
20879311,dhcp,dhcp,Snippet
20879311,firewalls,firewalls,Snippet
20879311,dns,dns,Snippet
18067556,linux,linux,Snippet
18067556,powershell,powershell,Snippet
18067556,css,css,Snippet
18067556,azure,azure,Snippet
18067556,gdpr,gdpr,Snippet
18067556,html,html,Snippet
18067556,r,r,Snippet
18067556,qlikview,qlikview,Snippet
18067556,tableau,tableau,Snippet
28126340,linux,linux,Snippet
28126340,mysql,mysql,Snippet
28126340,asp.net,asp.net,Snippet
28126340,css,css,Snippet
28126340,html,html,Snippet
28126340,load balancing,load balancing,Snippet
28126340,php,php,Snippet
28126340,javascript,javascript,Snippet
17111768,linux,linux,Snippet
17111768,r,r,Snippet
17111768,windows server,windows server,Snippet
17111768,sap,sap,Snippet
35325329,scrum,scrum,Snippet
35325329,lean six sigma,lean six sigma,Snippet
35325329,hipaa,hipaa,Snippet
27372171,spark,spark,Snippet
13477922,dhcp,dhcp,Snippet
13477922,windows server,windows server,Snippet
52618188,sap,sap,Snippet
31243710,linux,linux,Snippet
31243710,mysql,mysql,Snippet
31243710,vpn,vpn,Snippet
31243710,c,c,Snippet
31243710,hipaa,hipaa,Snippet
31243710,dhcp,dhcp,Snippet
31243710,firewalls,firewalls,Snippet
31243710,microsoft dynamics,microsoft dynamics,Snippet
31243710,solidworks,solidworks,Snippet
31243710,dns,dns,Snippet
40018190,sap,sap,Snippet
27536013,sap,sap,Snippet
12635195,javascript,javascript,Snippet
12635195,c#,c#,Snippet
11957080,linux,linux,Snippet
11957080,html,html,Snippet
11957080,r,r,Snippet
11957080,sap,sap,Snippet
11957080,ads,ads,Snippet
